"Walkthrough MySQL 25.11.2022 17:46:57","https://dreambroker.com/channel/rjvel23m/52edb5i1/get/fullhd.mp4"
"Forts. relationsmodellen, ER till relation 24.11.2022 19:49…","https://dreambroker.com/channel/rjvel23m/qivxyg2s/get/fullhd.mp4"
"Intro relationsmodellen 24.11.2022 19:16:11","https://dreambroker.com/channel/rjvel23m/ry44jzhq/get/fullhd.mp4"
"Flervägssamband och objektifiering 23.11.2022 16:34:12","https://dreambroker.com/channel/rjvel23m/nggxcy3p/get/fullhd.mp4"
"EER-modellering 23.11.2022 15:41:07","https://dreambroker.com/channel/rjvel23m/e8tbll1h/get/fullhd.mp4"
"Starka och svaga entiteter 23.11.2022 15:10:16","https://dreambroker.com/channel/rjvel23m/cfgommpy/get/fullhd.mp4"
"Demo ER-modellering 23.11.2022 09:05:11","https://dreambroker.com/channel/rjvel23m/rcpuebuf/get/fullhd.mp4"
"Intro ER-diagram 23.11.2022 08:42:55","https://dreambroker.com/channel/rjvel23m/mqngw1sr/get/fullhd.mp4"
"Intro databaser 14.11.2022 15:16:36","https://dreambroker.com/channel/rjvel23m/jxe3lid7/get/fullhd.mp4"
"Generics 2.11.2022 15:14:43","https://dreambroker.com/channel/rjvel23m/wcl05wo8/get/fullhd.mp4"
"Properties 2.11.2022 14:14:39","https://dreambroker.com/channel/rjvel23m/t7bltexh/get/fullhd.mp4"
"TCP, multiuser 30.10.2022 18:17:01","https://dreambroker.com/channel/rjvel23m/atq78vw6/get/fullhd.mp4"
"TCP, protokoll 30.10.2022 17:39:51","https://dreambroker.com/channel/rjvel23m/lc054n0n/get/fullhd.mp4"
"TCP, bilregister med serialisering 29.10.2022 15:15:31","https://dreambroker.com/channel/rjvel23m/b6f3w01z/get/fullhd.mp4"
"TCP, Bilregister 29.10.2022 14:42:59","https://dreambroker.com/channel/rjvel23m/u4cfuxj7/get/fullhd.mp4"
"Intro TCP, client-server 29.10.2022 13:48:49","https://dreambroker.com/channel/rjvel23m/poyxixvm/get/fullhd.mp4"
"Intro MVC 16.10.2022 14:44:09","https://dreambroker.com/channel/rjvel23m/l9vf3s6m/get/fullhd.mp4"
"Läsa från URL 24.10.2022 16:33:29","https://dreambroker.com/channel/rjvel23m/vflqdkbo/get/fullhd.mp4"
"UDP, multicast 24.10.2022 16:11:23","https://dreambroker.com/channel/rjvel23m/inwgzl01/get/fullhd.mp4"
"UDP, datagram 24.10.2022 15:06:08","https://dreambroker.com/channel/rjvel23m/dspu4g6t/get/fullhd.mp4"
